Text,oh_label
Ale pajac,0
Its' Dope!(: como se llama esta cancion?,0
Quien canta?,0
I made some orchestral music,0
Dislike !! Can't believe it exist 4 this song.,0
smfh the white race ain shut sometimes,1
LOLOLOLOL she's so different LOLOLOLOL,0
check this out! NEW VLOGGING GROUP!!!!!,0
Why don't you talk about the I'm blogging here documentary ??,0
Soooo sexy this sooooong!!!!!!,0
HARDSTYLE MOTHA FUCKA!!!!!!!!!!!!!,1
SEARCH: OCCUPY WALL STREET THERE'S NOTHING HERE *,0
Best episode yet n the music was perfect for the mission :D,0
Did you win? At first I thought it was Burnie.,0
Endlessly - Green River Ordinance,0
sooooooo luckyyyyy!!!!!!!,1
pants? at a time like this?,0
:D :D ? :),0
Thank you all for giving me 200 subscribers! :D,0
Sorry I had to I hope your ears can forgive me.,0
...,0
1 3 SS2 + + + +,0
phantom's hanhae is the model,0
@Jaruphpng Kunchung - - 5555*,0
wat een kk filmpje nice voice better go kill your self,1
wow (: i loved it !! the guy on the right is oober cute3,0
i love you lily-mae laptop hollister wat happened,0
taemin minho SHINee fighting soo,0
First!!!! haha daniel goes to my school,0
By the way it's jackshmack101 Great,0
broche hayes looks like schoolboyqlol,0
SP!!!!!!!!!!!!!!!! Im up loading a vid right now!!,0
Holy shit.... 1:03:27 XD,0
Your room mate is SO hot!,0
^^ VRZO .. lnu yasha,0
lovely voice more hauls yep can we not talk about 1d please,0
2:50 xDDD Ich Liebe euch ja ! ;* This is DOPESHIT ! :D shit.,0
Kai is A BOSS how much was that microphone o:,0
from what show??,0
G.T.L xp lol,0
Im 13 O_O NARHWHALS O.O,1
Hey Guys! Go check out YebraZebra and subscribe! :),0
He sounds like tupac a little bit..lol,0
This Close To J Cole Ft Drake In The Morning,0
Lol Lol this made me lol So gay woah U fucking blow Sweet,0
she looks soo uncomfortable this song awesome.,1
STEPHEN Y U SO FRICKIN HOT WHY DINT I HEAR THEM BEFORE?!,0
yuh,0
http://www.prizerebel.com/index.php?r=iwinprizes,1
.... or we wont die at all and it will be a normal day .,0
I think it is ArmA Jsi troll nebu plnej idiot ?,0
hahahahahaha,0
lol so funny :) cool gun dude! nice voice kid ur the next jb,0
conceited wtf is this shit,0
It Was 20 Years Ago Get The Fuck Over It,0
You have to ask me for the links of my videos.,0
el porno gay mas raro que he visto en mi vida!! I need EP:4,0
Hey new videos will be coming in shortly like and subscribe!!,0
thanks maaaan !! crows * ?,0
Thank you. :3 Ahaha. Thanks. (:,0
yo was Gucci was Gucci new vid peeps,0
!!!! ... ! !!Just perfect!! so true!!!!,0
screams into the night,0
PEPE the robot !!! papaya,0
Mooo Moooo :3,0
Nice! xD First! Frist!,0
Err:508,0
Who is redhead girl with cigarette? Girl on thumbnail?,0
always and forever you will leave in our hearts.,0
Popping Wtf? You killed my friend on Xbox... xD,0
pepper,0
! ) A-One ) )) - )) 1 . ! . -,0
They actually have these?,0
something,0
wat a faget,0
It IS in tune smart one. Holy shot I live in Minnesota!!! Ps3,0
It's same as CD Wow.. soooo cool Love ya,0
Why am i crying?! This is too amazing for my emotions.,0
BRAVO RE KLAJDI!! i totally agree with you!!,0
... ... ...,1
Her Voice is beautiful *_* Du bist ja ein ganz hbscher,0
This guy is actually damn catchy and good.. Damn.,0
Omg.,0
YALL NEED TO COME BACK TO DC,0
enjoy!,0
Truly stunning...and still perfect.,0
Memorial Arrangements 4:52 This is the real Behemoth feeling,0
on second thought don't free vnasty.,0
Kimchi!333,0
no way! someone was very bored no thank you so much!,0
What's wrong with dubstep??? DAMMMMMMMNNNN,0
You are so Very Sweet *-*,0
Im Streaming live on Google Hangouts!,0
Do u love me as much as i love you? :),0
rather boooored :3 hmm. listening to a day to remember (:,0
Isabeli fontana,0
i havent heard of anything but im sure there will be one,0
! ! !,0
justin bieber Here in your arms by hellogoodbye,0
1 month tomorrow thanks clay,0
dislikes = Japanese,0
I like the kamehameha graphics man!!,0
Huh?,0
thats was really good!3,0
Noo!! it's amazing!! :P ;) They know dance! :P,0
! ^^ where else can I find rest of the video clips? 2.55,0
:D I'm glad you liked it :D,0
#NAME? Cool! =D3 echt genial! :D *Jetzt bin ich unten! :D,0
MODONNA NUMBER # 1,1
nice video :-)))) !!!!!!!!!! original and amazing voice!!!)),0
where am i ????? amazing I love it!!!!!!!,0
8 flavaz :),0
Just loveeee it! Op Curacao opgenomen :) hahaha nice ! :-),0
I enjoy wasting 10 seconds of people's lives.,0
Hhahahah that's funny as hell,0
Nicest Santa ever,0
Wow! Youre just amaizing! :),0
Dec 21st = 1000000000PSY = illuminati O.o,0
you're like a female version of darren criss...,0
omg ur taylor swift lol lol tea party awesome,0
Earhart is fuckken gaay now!,0
like song like MV love WG... HAPPY BIRTHDAY TOP ^ ^,0
21 ( ) ^^ ^o^ ^ ^,0
what is your number hes ssoo hot boo! miss my lil man :'(,0
MY SOUL IS COMPLETED BECAUSE FINN IS SINGING BABY,0
djesi watafak boli me kurac. jelena YOU,0
good song good sound.... i love u pique,0
...,0
thats what she gets thats what she gets thats what she gets,0
alfarches@gmail.com,0
HOLY CRAP Jessie J looks amazing :O Yes please 3,0
it_mufc@hotmail.com,0
I like it sooo much!,0
was it a 4 banger?,0
where's david and wes? that was somehow disturbing..,0
He's so cute :X I like him,0
Thailand's Got Talent Kingdom of Thailand,0
ADD ME ON http://www.blogtv.com/people/ANTO_UTH,0
Disturbance ^^,0
"name him sean name it ,simon's wiener,",0
Yeah! Maybe he could teach you in english ;) excellent*,0
555555 555555 5555 5555555 55555,0
kmitl HENRY HENRY HENRYHENRY HENRY HENRY ..... .,0
This is totally epic you have such an beutiful voice,0
Of all of these this one was my favorite,0
So I guess I'm a stupid hoe,1
Flodude19Dishonerd,0
20000 ^^ 555 5555,0
I fell in love with that dog in the beginning.,0
lol LOL hA HA HA HA HA HA HAA,1
what's her name 00:35 brilliant! My right ear is dead,0
Shake that ass,0
Your welcome! I hope you had a great day,0
bring in mlgHwnT,0
Tokushima! I was there during spring break! :D,0
**,0
SMH= Shaking my head,1
ME ENCANTO!!! FELICES FIESTAS!!!,0
Fabulous~,0
Gabbo 3 Dread 3 Love this song :S _,0
Stop wearing animals! que bella es Almeria!!!,0
awesome :),0
Unique tone to your voice. Good job honey!!! Wow. Amazing!,0
joke Ronaldo de best Daheck?,0
Why is misty from Pokemon playing double Dutch?.????,0
Check out my new speed painting video,0
l Love this song...,0
I tigan ma uitate la el,0
Loving Puberty Blues ((:+ Big Brother !!,0
Last day of school we did a flash mod to this song 3,0
NEED BG!!!!!!!!!,0
real friends make time Lobbbe her 3 love itt,0
will they make another transit like map?,0
5555555,0
Post.,0
3 marry me,0
Banning bare breasts... HA! Gayyyyyy!,1
duran duran amazing!!!,0
Ooooooooooh I can't wait!! THIS IS EPIC This is so cool!,0
@jadaA were on utube??,0
missy elliot - lose control :),0
-_-,1
he look like my friend markavious,0
LOL OMFG THAT SO SCARY :OOOOOO,0
Killer sounds like Michael Cera... Kinda funny.,0
Y L VIT NAM ! OK ?.,0
"so cute:) i miss him ,, she's thai",0
Fantastic riding! Great job!,0
l3ve this song,0
Bets 128gb ipad When does it end Gizmo sent me Ps vita,0
Thank you!,0
Aj the bum jkjk :D Nice vid bro :),1
And bullshit so you suck dick much?,1
