Text,oh_label
@Te4m_NiGhtM4Re http://t.co/5Ih7MkDbQG,0
@carolinesinders @herecomesfran *hugs*,0
Bullshit #mkr,0
@AhleFars It won't make it for nearly as long this time.,0
Rigged #MKR,0
@MJalsaadi They are not Muslim enough.,0
The show is about cooking NOT SASS #MKR,0
@theRoUS oops. i just woke up from a nap. ;P,0
@jrinn siiiiiiiiiiiiiiiiiiiiiiiigh,0
Pulling on my lip rings to freak out my mom.,0
RT @esilver829: @MT8_9 This is dangerously accurate,0
"@KhaledHamaki Give me verse numbers, not your interpretation.",0
@Mwforhr @FauxNews_ @bebird @LVview I'm in the same boat.,0
@Galaxy_Allie I'll make this simple... http://t.co/mgO6xd2fz4,0
Ok #MKR... Enough instant restaurants already!,0
oh great another fucking instant round.....#MKR,0
@ProoN i would rather have teeth pulled.,0
"@sibbysoyabean oh, that weird RT?",0
@cxarli nope. I had to manually block her.,0
Why don't you just give them a 0 and shut the fuck up #mkr,0
STOP SAYING CYBER HACKERS @KTVU omg,0
@alexlifschitz YUP.,0
@pwreclive https://t.co/TS7xaoxoj4,0
".@WestCoastAnime yes, I found it ;)",0
RT @Mr_Fanta_Pants: #mkr can't even http://t.co/iUcYYMM9JE,0
Nnnnnoooooooooo I can't bare Kat and Andre #mkr,0
"@kufr666 @blockbot no, that's @oolon",0
"Shame the razor blades weren't near your throat
#mkr",0
Lloyd likes thing intensely meaty. No surprises there. #MKR,0
Cc @SwiftOnSecurity http://t.co/RK2U5igiwU,0
@strictmachine hahahahaha,0
@_DirtyTruths To divide?,0
@ISIS_Med ROFLMAO.,0
"Really, Jetstar? The shitty airline? #MKR",0
There is no gender binary #realunpopularopinions,0
LMGTFY @EliTheShithead http://t.co/lfdXkC96bF,0
@LarryWest42 mostly joan jett lyrics.,0
@WithTrish @JRehling http://t.co/NKMsZ2wxkv,0
@MalickBee http://t.co/joKrudSC8T,0
LITERALLY A CAPE,0
Bugger #mkr,0
@kunikos NPO can take a year. :\,0
I am sterile. #ThreeWordsSheWantsToHear,0
"Obama just said ""user face desginer"" - oh no. no no no.",0
Loving this challenge  #mkr,0
@freedominguez clearly witchcraft. ;),0
"@Taxis__ don't really know, most of those people are dumb.",0
That's unfair and fucked up #mkr,0
#MKR the sausage was a real letdown hey ?,0
Helloooh camperes....hi de hi! #mkr,0
@sinboy https://t.co/T7sChyC2Vs,0
@flyfishidaho never,0
@tarkasteve awww. I felt scattered as heck. I need sleep :P,0
@mattjbaldo yup!,0
just robert from #MKR 💁 https://t.co/61zn3V7WHV,0
There's a cave nearby where Colin keeps his stuff #mkr,0
Dev week matches my outfit! http://t.co/s8i4HDWqMV,0
@yeborskiy @deanofsurrey @Raqqa_Sl What is your solution?,0
@danimal ❤️❤️❤️😘,0
They lost me at 'pink mason jars'. They've gotta go. #MKR,0
Paleo Evans is a lil fuckboi. #mkr #pete,0
Uh. A GamerGater doesn't like reboot. http://t.co/UGwC1ROnPu,0
tad ironic that celine chose to reference elephants. #mkr,0
The confidence was way too much. #mkr,0
@themanclaw ...and yet...,0
@girlziplocked ughhhh.,0
"you all respect him...you respect him, right? right? #mkr",0
Who are all these people? I've forgotten #mkr,0
Where the weetbix?!! #mkr,0
RT @parisi_mica: #MKR really stretching it out this year,0
Kat obviously doesn't know how to be considerate #MKR,0
RT @pew_Michelle: FK YOU KAT AND ANDRE! #mkr,0
@dankmtl can be verified from countless sources.,0
*sigh* oh Colin 😍 #MKR,0
Judgement time #mkr #hungrycampers,0
http://t.co/dRA9gGRrMz,0
@LostSailorNY @AJM9588 @CFLancop So true.,0
I rink they are going alright #MKR @angusmiller253,0
Urgh.. that's just naff... a ONE?  #shameshameshame #MKR,0
@jneen_ i need to know the story behind that image,0
RT @SueKennedy19: #MKR More comebacks than Johnny Farnham!,0
GUYS I AM WEARING A SUPER HERO OUTFIT WITH A CAPE,0
And so we say goodbye to the little butcher girls #mkr,0
I bet my designer can opener that's not their house!  #MKR,0
@DianH4 I don't have time for propaganda videos.,0
Plz stop demonizing black women's sexuality k thx,0
@AnasMechch @peymaneh123 Haven't seen that one.,0
@merlyn IT BEGINS.,0
@Veeren_Jubbal no u,0
#mkr Bring it on !!,0
Yay Colin's back ☺ Nice to hear that sexy Irish accent #mkr,0
Well they butchered that desert #MKR,0
"Emma, we need to talk about that dress #MKR",0
I want to give Kat some moisturiser #MKR,0
I hope Colin tears Kat and Andre a new one!!! #mkr,0
#MKR   Gimme a break boys.....,0
@BrentonPoke @Sir5000 i do.,0
"@Quinnae_Moon this is like vegan powers, right?",0
