Text,oh_label
  Iraq is not good  ===  ===  USA is bad   ,1
"i have a dick, its bigger than yours! hahaha",1
"  i am using the sandbox, ass wipe",1
" ::Make that four, fifth is underway.  This is rediculous!   ",1
Hey  Kerry is a loser and so is Gore.-   ,1
  Vandals stop messing with this page!,1
   ==Can I Eye== FUCK YOU YOU NEGRO SEE GROW  ,1
   What the fuck is your problem?,1
  Shut the hell up JeremyA stop posting nonsense.,1
  Indian people say this is just British hogwash.,1
" I agree, this guy is a piece of shit!",1
 I Love to eat rectal yoghurt,1
"SEE YOU IN PERSON, I'M GOING TO FUCK YOU UP BIG TIME.",1
  == your mums ugly ==  your gay,1
  DAMN ur an ugly fukka,1
"  ==Yo mama==  I fink dat u guys shld stop the sillyn3ss, k?",1
" == See how YOU like it, VANDAL==",1
"  You blanked articles to warez groups, dumb ass.  ",1
 Your mama advertises her fat ass.  ,1
  ==Suck COck!!!== you do!!!! you do!!!! ,1
"   In addition, I see no sock puppet, jackass. ",1
  == HOLA FUCKER ==  HOLA FUCKER,1
  == hola fucker ==  hola fucker,1
  Well fuck u ur just a twat,1
   Why don't you go fuck your mom  ,1
", are you dumber than you look? asshole.",1
"You are a racist pig, loser.  Don't vandalize again.  ",1
    You're doing it again. Stop it.,1
 You are a coward and a fool.  ,1
  Shut up you faggot.  4 July 2005 01:23 (UTC),1
  FUCK YOU I WON'T DO WHAT YOU TELL ME!-ANON,1
  fuck you you cock biting jew licker. -steve,1
", or else I'll cure your virginity from the wrong hole",1
  -  nothing wrong with being a fag,1
 and offer you sexual favours.,1
"  I didn't vandalize your user page, idiot.",1
"Ooh I'm so scared, I'm quaking in my boots. Cunt.   ",1
"do you mean by seems to? More like does, dumbass.    What ",1
" Ya know, why dont you just go fuck yourself you cocksucker",1
  Stop talking you stink of penis breath.,1
  SUCK MY PLUMS YOU STUPID SEPTIC CUNT,1
  What the fuck are you talking about!?,1
  Dylan's a pedophile.  ,1
"  Shut up, I fucked your mom's pussy good.",1
 :I did use the sandbox. Idiot.  ,1
"  == Nig(g)er ==  Shut up, sit down.",1
"You're not very bright, are you   ",1
