Text,oh_label
RT @mcRelyt: #FeministsAreUgly http://t.co/OqRhk26Rrf,1
Kat I'd love to slap your face with a pork cutlet #MKR,1
Lol bitch please... #mkr,1
@RaidersGirl20 How is that sexist?,1
Kat you don't look suspicious at all!  #MKR,1
Can someone please punch Kat? #MKR,1
Hate these blonde bitches already #MKR,1
Oh shock face from Kat....really???!??! #MKR,1
@JamesBolton11 Yup.,1
"@chsfword Name 3 prominent feminists, please.  No Google.",1
OH MY GOD. KAT IS SUCH A FUCKING BITCH. SO MUCH HATE #mkr,1
"Two blondes....Twitter will be the judge  of hot!
#mkr",1
@lNDlEROCK No true feminist... http://t.co/RNU2MPjhjh,1
OMG the sluts are going to get through #mkr,1
@boxedariel Where is your knowledge of feminism derived?,1
How annoying is this Kat on #mkr,1
@She_TheWolf  True.  Just 99% of them.,1
RT @NathanWassihun I'm not sexist but BITCHES CANNOT DRIVE,1
"@RyanSorge19 Hey, I had him on 3 of my 4 fantasy teams...",1
@The_Loki_Jotunn ...WTF?,1
.@rosesareswift K... http://t.co/IyxiisJajP,1
RT @JabzzSalam Not sexist but girls on twitter aren't funny,1
@mary__kaye she's always hideous! #mkr,1
Not watching #MKR again until Kat is booted off. What a joke.,1
"@JDefiant9 Well, I'd have no way of knowing. General point.",1
@ListenToRaisin @trishesdishes Proof?,1
Kat can fuck off home now.... #mkr,1
#MKR Tart. Lol.,1
@Securedhappines @WilliamBakerGG @JudgyBitch1 Nope.,1
"Go fuck yourself Kat, stupid slut #MKR #nofucksgiven",1
eat a dick kat and andre u areseholes #MKR,1
@DifoolJohn @ElizabethHobso6 Then I have no idea.,1
Kat is such an awful bitch!!! #mkr,1
Nikki has massive #armpitvaginas #mkr,1
So I take it Katie is a plus size model right? #MKR,1
"@LoveAndLonging ...how is that example ""sexism""?",1
nothing worse than a raw cock....oh wait....#MKR,1
RT @rapebombing: @TamedInsanity @MT8_9 http://t.co/QCLsQaxoJr,1
Kat should be eliminated for bad sportsmanship #mkr #mkr2015,1
#MKR2015 #MKR why do they keep saying that they are so pretty,1
"@mykitchenrules Did Stevie Wonder choose these ""models""? #MKR",1
@cazzapuppy Are men not human?  Do they deserve #EqualRights?,1
"How do you sleep at night, Kat? You. Cunt. #MKR #mkr2015",1
jus gonna say it...again....DUMB BITCH! #MKR,1
RT @nowlinn Not sexist but I hate female sports announcers,1
Shut up Kat.  #mkr,1
@ardentlyaphotic Please answer... http://t.co/m7i3NFQsDY,1
"Better try harder blondes
#MKR",1
Stick to your day jobs girls #MKR,1
Sassy? Gurls you ain't sassy. More like bitchy. #MKR,1
Ugh. Fuck off Kat. Your turns next.  #mkr,1
@anniekfox Can you give an example?,1
@scarmichael18 @shaner38 No idea what u said.,1
Surely THIS proves that those two cunts can't cook... #mkr,1
Can Kat get any nastier? #mkr,1
@mykitchenrules #MKR I hate Kat. She is awful.,1
.@jaasboyle K. http://t.co/0o9GQ6jFsY,1
*cough* slut *cough #MKR,1
RT @MeninistTweet: This is disgusting. http://t.co/Yn6MQjy22r,1
@comattwow @ChubsSays ...there is no beef here.,1
@shaner38 Hope not.  How will she pay her bills?,1
RT @genaro_m17 Girls should shave no matter what month it is,1
Really a cat walk that's so ridiculous #MKR @TeenWolf78,1
Celine fuck off. 🔫 #mkr,1
"to be honest I would rather have had those ""models"" stay #mkr",1
Stop smirking you vile bitch #mkr,1
"RT @robinashe: Yep, #QuestionsForMen in fact. @paulawrites",1
@kimpalencia  Can you explain what that 77 refers to?,1
